Episode,Total Reward,Avg Loss,Epsilon,Steps
1,-163.46999999999994,0.12600697301565966,0.97,360
2,-159.64,0.08841575603518222,0.9409,360
3,-162.7799999999999,0.050235892221745515,0.912673,360
4,-159.5599999999998,0.046146482589150155,0.8852928099999999,360
5,-162.79999999999987,0.06543410294171836,0.8587340256999999,360
6,-192.03000000000043,0.09737396072822675,0.8329720049289999,360
7,-160.4199999999998,0.12016163738379772,0.8079828447811299,360
8,-155.84,0.15836118520948933,0.783743359437696,360
9,-159.55999999999992,0.28422977090037116,0.7602310586545651,360
10,-160.6499999999999,0.2681637713996073,0.7374241268949281,360
11,-157.85999999999981,0.29735245912387553,0.7153014030880802,360
12,-158.71999999999986,0.40311773267522866,0.6938423609954378,360
13,-159.53999999999982,0.37653579998554454,0.6730270901655747,360
14,-156.79999999999976,0.38546710474054435,0.6528362774606075,360
15,-158.68999999999986,0.6031422539407181,0.6332511891367892,360
16,-158.74999999999991,0.6720451577980485,0.6142536534626856,360
17,-165.6399999999999,0.7632841038414173,0.595826043858805,360
18,-165.4799999999999,0.6450428393307246,0.5779512625430409,360
19,-154.77999999999986,0.6805627029596104,0.5606127246667496,360
20,-157.5799999999999,1.0388012381244658,0.5437943429267471,360
21,-156.2999999999998,0.9443228863748825,0.5274805126389447,360
22,-157.7999999999998,1.1408384362753066,0.5116560972597763,360
23,-156.62999999999985,0.9956442975542612,0.496306414341983,360
24,-157.89999999999964,0.984083789261058,0.48141722191172354,360
25,-152.98999999999984,1.3065661220656086,0.4669747052543718,360
26,-161.40999999999997,1.1010662221246295,0.4529654640967406,360
27,-160.15999999999977,1.195740076700329,0.4393765001738384,360
28,-157.34999999999997,1.2622125388071355,0.42619520516862325,360
29,-155.13999999999984,1.3488370003385677,0.4134093490135645,360
30,-158.90999999999988,1.5756968283094466,0.4010070685431576,360
31,-157.44999999999985,1.4793585451216333,0.38897685648686287,360
32,-155.41999999999985,1.2908551229370966,0.377307550792257,360
33,-169.32000000000025,1.7672063211548246,0.36598832426848926,360
34,-158.64999999999998,1.1188373159875886,0.35500867454043455,360
35,-157.26999999999978,1.7296834949455742,0.3443584143042215,360
36,-164.43000000000006,1.8596459964652443,0.3340276618750948,360
37,-161.12999999999997,1.7795506343348986,0.32400683201884195,360
38,-165.17999999999984,1.5827399294254267,0.3142866270582767,360
39,-159.21999999999971,1.2246578372135344,0.3048580282465284,360
40,-159.39999999999986,1.974044663174492,0.2957122873991326,360
41,-169.58999999999995,1.7424418433879814,0.2868409187771586,360
42,-158.26999999999967,1.9701813840203815,0.27823569121384384,360
43,-156.41999999999973,1.8932934876945284,0.2698886204774285,360
44,-163.16999999999993,1.5857315319072869,0.26179196186310566,360
45,-156.44999999999973,1.7678841783147718,0.2539382030072125,360
46,-170.95000000000013,2.2110369951722935,0.2463200569169961,360
47,-162.90999999999997,2.4762328675844603,0.23893045520948622,360
48,-162.48000000000005,2.1514727919465964,0.23176254155320164,360
49,-165.59999999999994,1.966267410106957,0.2248096653066056,360
50,-161.21999999999997,1.6202033768666702,0.21806537534740741,360
51,-156.51999999999992,1.7889945769268605,0.2115234140869852,360
52,-172.03000000000014,2.0971905299565856,0.20517771166437562,360
53,-155.71999999999989,1.7156952950689528,0.19902238031444436,360
54,-155.9199999999997,2.1795049076330746,0.19305170890501103,360
55,-190.59000000000015,2.116518101023717,0.1872601576378607,360
56,-170.42000000000013,2.4017643012054677,0.18164235290872485,360
57,-163.37000000000012,2.0402638828899295,0.1761930823214631,360
58,-161.41999999999982,2.8202883798422085,0.17090728985181922,360
59,-157.45999999999987,3.1459891097206207,0.16578007115626464,360
60,-161.45000000000002,1.680765938391495,0.1608066690215767,360
61,-157.2599999999999,2.0948758189255994,0.1559824689509294,360
62,-182.23000000000027,2.571419088123366,0.1513029948824015,360
63,-155.99999999999974,2.001490570149488,0.14676390503592945,360
64,-156.53999999999976,2.3195268942146665,0.14236098788485158,360
65,-157.63999999999984,1.6789945362032288,0.13809015824830603,360
66,-156.21999999999989,2.368948725031482,0.13394745350085685,360
67,-167.93000000000023,2.4179173144149697,0.12992902989583113,360
68,-164.0299999999999,2.007429060495148,0.1260311589989562,360
69,-162.20999999999995,1.8392421102979117,0.12225022422898751,360
70,-161.93999999999994,2.9296653845450944,0.11858271750211788,360
71,-166.59000000000006,2.28554763763936,0.11502523597705434,360
72,-160.86999999999986,2.3173194082195145,0.1115744788977427,360
73,-160.35999999999984,2.095547445656525,0.10822724453081042,360
74,-183.19000000000028,2.2532576841716137,0.10498042719488611,360
75,-172.27999999999992,1.725701290767433,0.10183101437903952,360
76,-167.07999999999967,2.9723859396452705,0.09877608394766833,360
77,-184.05000000000015,3.0518829862431933,0.09581280142923829,360
78,-161.29999999999987,1.6333381852548983,0.09293841738636113,360
79,-163.0699999999999,2.481335583080848,0.09015026486477029,360
